,frame,k_cluster,outliers,silh_coef,clusters_label,quantidades,,small_clst,intermediate_clst,large_clst,small_mic,micelles
47,47,7,0,0.35760571561780635,[0 1 2 3 4 5 6],[ 8 10  6  3  7 14  6],"9,4",1,3,2,0,0
48,48,7,0,0.36842719243917416,[0 1 2 3 4 5 6],[ 3  9  6  7 11 14  4],"9,6",1,2,3,0,0
49,49,7,0,0.3548894749775312,[0 1 2 3 4 5 6],[ 3 14  6  7  9 11  4],"9,8",1,2,3,0,0
50,50,7,0,0.31908539923856694,[0 1 2 3 4 5 6],[ 3 14  9  7 10  5  6],10,0,3,3,0,0
51,51,7,0,0.10150378202069125,[0 1 2 3 4 5 6],[ 8  6  4  7 10 14  5],"10,2",1,3,2,0,0
52,52,7,0,0.12587336114135816,[0 1 2 3 4 5 6],[ 3  7  7  9 10 14  4],"10,4",1,2,3,0,0
53,53,7,0,0.2173670699605959,[0 1 2 3 4 5 6],[ 3 14  6  8  8 11  4],"10,6",1,3,2,0,0
54,54,6,0,0.2954336845107005,[0 1 2 3 4 5],[10 12  3 11  4 14],"10,8",2,0,3,0,0
55,55,6,0,0.18021868503768965,[0 1 2 3 4 5],[14  9  3 14 10  4],11,2,0,3,0,0
56,56,6,0,0.16621010149144488,[0 1 2 3 4 5],[ 9 10  3 14 14  4],"11,2",2,0,3,0,0
57,57,6,0,0.30197640104310985,[0 1 2 3 4 5],[10  3 14  9  4 14],"11,4",2,0,3,0,0
58,58,6,0,0.24596718044165242,[0 1 2 3 4 5],[ 8 10  4  4 14 14],"11,6",2,0,3,0,0
59,59,6,0,0.3809435579871958,[0 1 2 3 4 5],[ 3  4  9 10 14 14],"11,8",1,0,4,0,0
60,60,6,0,0.4084364606923477,[0 1 2 3 4 5],[ 3 10  8  4 15 14],12,1,1,3,0,0
61,61,7,1,0.23369671987922994,[0 1 2 3 4 5 6],[ 4  7 10 14  1  4 14],"12,2",1,1,3,0,0
62,62,6,0,0.38823737057725616,[0 1 2 3 4 5],[ 3 10  8 15 14  4],"12,4",1,1,3,0,0
63,63,6,0,0.4278472414826897,[0 1 2 3 4 5],[ 3  4 15  6 12 14],"12,6",1,1,3,0,0
64,64,6,0,0.4045742246760128,[0 1 2 3 4 5],[ 4 14  4  7 11 14],"12,8",1,1,3,0,0
