,frame,k_cluster,outliers,silh_coef,clusters_label,quantidades,,small_clst,intermediate_clst,large_clst,small_mic,micelles
0,0,10,31,-0.0986172781459544,[-1  0  1  2  3  4  5  6  7  8  9],[31  3  2  2  3  2  2  2  2  2  3],0,10,0,0,0,0
1,1,13,19,0.0747413102224752,[-1  0  1  2  3  4  5  6  7  8  9 10 11 12],[19  3  4  2  3  2  2  4  2  2  2  2  3  4],"0,2",13,0,0,0,0
2,2,14,12,0.09260791158207703,[-1  0  1  2  3  4  5  6  7  8  9 10 11 12 13],[12  3  8  2  3  4  4  2  2  2  2  2  3  2  3],"0,4",13,1,0,0,0
3,3,15,12,0.0683793654564206,[-1  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14],[12  2  7  2  2  5  2  2  4  2  2  2  2  3  2  3],"0,6",13,2,0,0,0
4,4,12,13,0.17936367136128528,[-1  0  1  2  3  4  5  6  7  8  9 10 11],[13  2 11  2  2  5  3  4  2  2  2  3  3],"0,8",10,1,1,0,0
5,5,13,13,0.19575957026378277,[-1  0  1  2  3  4  5  6  7  8  9 10 11 12],[13  2  8  2  2  5  3  4  2  2  2  2  3  4],1,11,2,0,0,0
6,6,13,11,0.3318602994184943,[-1  0  1  2  3  4  5  6  7  8  9 10 11 12],[11  2 10  2  6  2  3  4  2  2  2  2  3  3],"1,2",11,1,1,0,0
7,7,13,11,0.38936557459062526,[-1  0  1  2  3  4  5  6  7  8  9 10 11 12],[11  3 10  2  6  2  3  4  2  2  2  2  2  3],"1,4",11,1,1,0,0
8,8,11,11,0.2361716832186959,[-1  0  1  2  3  4  5  6  7  8  9 10],[11  3  7  5  2  6  4  3  4  4  2  3],"1,6",8,3,0,0,0
9,9,11,12,0.3163507903711753,[-1  0  1  2  3  4  5  6  7  8  9 10],[12  3 13  2  6  2  2  4  2  2  3  3],"1,8",9,1,1,0,0
10,10,11,13,0.3459125011678483,[-1  0  1  2  3  4  5  6  7  8  9 10],[13  3 12  2  5  2  3  4  2  2  3  3],2,9,1,1,0,0
11,11,11,11,0.3426454092372364,[-1  0  1  2  3  4  5  6  7  8  9 10],[11  3 12  2  6  2  3  5  2  2  3  3],"2,2",8,2,1,0,0
12,12,11,13,0.23641132191921077,[-1  0  1  2  3  4  5  6  7  8  9 10],[13  2 12  2  6  2  2  2  5  2  3  3],"2,4",8,2,1,0,0
13,13,11,9,0.3545252071299987,[-1  0  1  2  3  4  5  6  7  8  9 10],[ 9  3 12  2  6  3  4  3  5  2  2  3],"2,6",8,2,1,0,0
14,14,10,8,0.36375015551794754,[-1  0  1  2  3  4  5  6  7  8  9],[ 8  3 12  2  7  3  4  3  5  4  3],"2,8",7,2,1,0,0
15,15,11,6,0.49280882561063166,[-1  0  1  2  3  4  5  6  7  8  9 10],[ 6  3 12  2  7  2  3  4  3  5  4  3],3,8,2,1,0,0
16,16,9,7,0.48820902734320015,[-1  0  1  2  3  4  5  6  7  8],[ 7  3 12  7  3  6  4  5  4  3],"3,2",5,3,1,0,0
