,frame,k_cluster,outliers,silh_coef,clusters_label,quantidades,,small_clst,intermediate_clst,large_clst,small_mic,micelles
49,49,7,0,0.5753728408127952,[0 1 2 3 4 5 6],[ 3  5 14 13  8  6  5],"9,8",0,4,2,0,0
50,50,7,0,0.5491095442332101,[0 1 2 3 4 5 6],[14  2 12  4  9  8  5],10,2,2,2,0,0
51,51,7,0,0.5625283572092606,[0 1 2 3 4 5 6],[10 11  4  8  8  5  8],"10,2",1,4,1,0,0
52,52,7,0,0.511661237374038,[0 1 2 3 4 5 6],[ 3  7 10 12  9  6  7],"10,4",0,3,3,0,0
53,53,7,0,0.516299303073495,[0 1 2 3 4 5 6],[ 3  8 13  8  8  8  6],"10,6",0,5,1,0,0
54,54,7,0,0.5224680870643772,[0 1 2 3 4 5 6],[ 4  9  3 15  7  6 10],"10,8",1,2,3,0,0
55,55,7,0,0.5001984863635437,[0 1 2 3 4 5 6],[ 5  4 15  7  7  7  9],11,1,3,2,0,0
56,56,6,0,0.5055052881975655,[0 1 2 3 4 5],[ 5 15  6 13  7  8],"11,2",0,3,2,0,0
57,57,5,0,0.5652633803265739,[0 1 2 3 4],[18  9  5 15  7],"11,4",0,2,2,0,0
58,58,6,0,0.5316780936146331,[0 1 2 3 4 5],[ 4 18  8  6  7 11],"11,6",0,3,1,1,0
59,59,6,0,0.5705504796209572,[0 1 2 3 4 5],[ 4  3 16 11 14  6],"11,8",1,1,2,1,0
60,60,7,1,0.5797731397606175,[0 1 2 3 4 5 6],[ 3  5  1  4 12 15 14],12,1,1,3,0,0
61,61,6,0,0.5740091185706867,[0 1 2 3 4 5],[18  5  9  4  8 10],"12,2",1,2,2,0,0
62,62,7,1,0.5779431233792469,[0 1 2 3 4 5 6],[ 3  5 11 15 14  1  5],"12,4",0,2,3,0,0
63,63,5,0,0.585666159902141,[0 1 2 3 4],[ 5  3 19 13 14],"12,6",1,0,2,1,0
64,64,5,0,0.603124887063163,[0 1 2 3 4],[14 18  6 11  5],"12,8",0,2,1,1,0
65,65,5,0,0.6434539652887286,[0 1 2 3 4],[ 4  3 19 14 14],13,1,0,2,1,0
66,66,5,0,0.6648089924711432,[0 1 2 3 4],[13 19 14  4  4],"13,2",2,0,1,1,0
67,67,5,0,0.6141236051330189,[0 1 2 3 4],[ 3 18 17  4 12],"13,4",1,0,1,2,0
68,68,5,0,0.6375878558156413,[0 1 2 3 4],[ 7 17  8  4 18],"13,6",1,1,0,2,0
69,69,5,0,0.6824098410895071,[0 1 2 3 4],[17  4  4 11 18],"13,8",2,0,1,1,0
70,70,5,0,0.6761273737856777,[0 1 2 3 4],[18  4 17 11  4],14,2,0,1,1,0
71,71,6,0,0.6095497256363033,[0 1 2 3 4 5],[ 2 14  4 19 12  3],"14,2",2,0,2,1,0
72,72,6,0,0.6428456818839217,[0 1 2 3 4 5],[ 8  6 16  3 18  3],"14,4",2,1,0,2,0
73,73,6,0,0.6170942933234953,[0 1 2 3 4 5],[ 4  3  4 17 11 15],"14,6",2,0,2,1,0
74,74,7,0,0.6791499845192893,[0 1 2 3 4 5 6],[ 3  3 17 14 11  4  2],"14,8",3,0,2,1,0
75,75,6,0,0.6548917674659213,[0 1 2 3 4 5],[ 4 10 17  5  4 14],15,1,1,2,1,0
76,76,5,0,0.6716577961447763,[0 1 2 3 4],[ 3 11 17 18  5],"15,2",0,1,1,2,0
77,77,5,0,0.6446345244261734,[0 1 2 3 4],[ 4 19 17 11  3],"15,4",1,0,1,2,0
78,78,5,0,0.6363989875612874,[0 1 2 3 4],[12  2 19 17  4],"15,6",2,0,0,2,0
79,79,6,0,0.6407223029816387,[0 1 2 3 4 5],[ 5 10  4 15 17  3],"15,8",2,0,2,1,0
80,80,6,0,0.6487804457782701,[0 1 2 3 4 5],[ 4 15  4 18 10  3],16,2,0,2,1,0
81,81,7,0,0.6611765607924643,[0 1 2 3 4 5 6],[ 4 10 14  4  4  4 14],"16,2",3,0,3,0,0
82,82,6,0,0.6157674741111236,[0 1 2 3 4 5],[11  3 16 19  2  3],"16,4",3,0,0,2,0
83,83,5,0,0.6172272085618338,[0 1 2 3 4],[ 4 14 17 14  5],"16,6",0,1,2,1,0
84,84,5,0,0.6271952888022476,[0 1 2 3 4],[ 1 17 19 13  4],"16,8",1,0,1,2,0
85,85,7,2,0.58936990508505,[0 1 2 3 4 5 6],[16  1 15  4 13  1  4],17,2,0,2,0,0
86,86,6,1,0.6104815444183865,[0 1 2 3 4 5],[13 16  1 18  3  3],"17,2",2,0,0,2,0
87,87,6,0,0.6380644492302794,[0 1 2 3 4 5],[14  2 16 18  2  2],"17,4",3,0,0,2,0
88,88,6,0,0.6072750189196837,[0 1 2 3 4 5],[ 4 14 16  3  3 14],"17,6",2,0,2,1,0
89,89,6,0,0.6303214274153702,[0 1 2 3 4 5],[ 6 10  7 14 14  3],"17,8",1,1,3,0,0
90,90,6,0,0.6249049264051102,[0 1 2 3 4 5],[14 13  5  4  4 14],18,2,1,2,0,0
91,91,5,0,0.6494883090625286,[0 1 2 3 4],[15  5  4 18 12],"18,2",1,1,1,1,0
92,92,6,0,0.5537710987926449,[0 1 2 3 4 5],[ 8  8 10 10  4 14],"18,4",1,1,3,0,0
93,93,6,1,0.5514754971874188,[0 1 2 3 4 5],[ 4  8 17  1 14 10],"18,6",0,1,2,1,0
94,94,5,0,0.6675144759780307,[0 1 2 3 4],[ 3 17 18  2 14],"18,8",1,0,1,2,0
95,95,5,0,0.6923762146808949,[0 1 2 3 4],[13  4 18  5 14],19,1,1,1,1,0
96,96,5,0,0.6692525206618716,[0 1 2 3 4],[ 5 18 12  5 14],"19,2",0,1,2,1,0
97,97,5,1,0.6186029960458291,[0 1 2 3 4],[17 18  1 14  4],"19,4",1,0,1,1,0
98,98,4,0,0.6609245602842745,[0 1 2 3],[18  5 14 17],"19,6",0,1,1,1,0
99,99,4,0,0.6610794217242464,[0 1 2 3],[17 18 14  5],"19,8",0,1,1,1,0
100,100,4,0,0.6789899917604252,[0 1 2 3],[ 5 18 17 14],20,0,0,1,2,0
101,101,5,0,0.681428702267435,[0 1 2 3 4],[ 3 17 18  2 14],"20,2",1,0,1,2,0
102,102,4,0,0.6789031383267745,[0 1 2 3],[19 17 14  4],"20,4",1,0,1,1,0
103,103,6,1,0.6626211500572965,[0 1 2 3 4 5],[14  1  5 18  2 14],"20,6",1,1,1,1,0
104,104,5,0,0.6697404787746343,[0 1 2 3 4],[14 18 15  2  5],"20,8",1,1,1,1,0
105,105,4,0,0.6344033103043135,[0 1 2 3],[18 17 14  5],21,0,1,1,1,0
106,106,4,0,0.6388329838845919,[0 1 2 3],[ 5 18 17 14],"21,2",0,0,1,2,0
107,107,4,0,0.6310803814319894,[0 1 2 3],[ 5 18 17 14],"21,4",0,0,1,2,0
108,108,6,1,0.6435554679909781,[0 1 2 3 4 5],[14  2  1 18 14  5],"21,6",1,1,1,1,0
109,109,5,0,0.6817382119632648,[0 1 2 3 4],[14  2 18 15  5],"21,8",1,1,1,1,0
110,110,5,1,0.6761577241936578,[0 1 2 3 4],[14 16 18  1  5],22,0,1,0,2,0
111,111,4,0,0.675885344423654,[0 1 2 3],[14 17 18  5],"22,2",0,1,0,2,0
112,112,4,0,0.6662016740430536,[0 1 2 3],[17 14 18  5],"22,4",0,1,1,1,0
113,113,4,0,0.6654701072677894,[0 1 2 3],[17 14 18  5],"22,6",0,1,1,1,0
114,114,5,1,0.652071314068318,[0 1 2 3 4],[17 14 18  1  4],"22,8",1,0,1,1,0
115,115,5,1,0.6571615304690015,[0 1 2 3 4],[14 18  4 17  1],23,1,0,0,2,0
116,116,4,0,0.6297619982639846,[0 1 2 3],[17 18 14  5],"23,2",0,1,1,1,0
117,117,4,0,0.5807392064885333,[0 1 2 3],[14 18 17  5],"23,4",0,1,0,2,0
118,118,5,0,0.6074376736167395,[0 1 2 3 4],[14 14  5 18  3],"23,6",1,1,1,1,0
119,119,5,0,0.6007284424873606,[0 1 2 3 4],[14  3 14  5 18],"23,8",1,1,1,1,0
120,120,5,0,0.617353163709822,[0 1 2 3 4],[14  3 18 14  5],24,1,1,1,1,0
121,121,5,0,0.6131096377692905,[0 1 2 3 4],[ 6 14 18 12  4],"24,2",1,0,2,1,0
122,122,5,0,0.6372420705261681,[0 1 2 3 4],[ 4 14 18 13  5],"24,4",0,1,2,1,0
123,123,5,0,0.6369082302639718,[0 1 2 3 4],[ 3 14 18 14  5],"24,6",0,1,2,1,0
124,124,6,0,0.6400503284146302,[0 1 2 3 4 5],[ 3 14  3 18 11  5],"24,8",1,1,2,1,0
125,125,6,0,0.640380600188621,[0 1 2 3 4 5],[14  5  3  8  6 18],25,1,3,0,1,0
126,126,6,0,0.6782718926495449,[0 1 2 3 4 5],[13  3  6 18  7  7],"25,2",1,3,0,1,0
127,127,6,0,0.6711112093204483,[0 1 2 3 4 5],[14  3 18  5  9  5],"25,4",1,2,1,1,0
128,128,5,0,0.6399574882098911,[0 1 2 3 4],[12  5 14 18  5],"25,6",0,2,1,1,0
129,129,6,0,0.6532098487907853,[0 1 2 3 4 5],[14  2  6 18  8  6],"25,8",1,3,0,1,0
130,130,6,1,0.6528334091913118,[0 1 2 3 4 5],[14  1 18  5 10  6],26,0,2,1,1,0
131,131,5,0,0.6540239732882078,[0 1 2 3 4],[14  5 18  9  8],"26,2",0,2,1,1,0
