,frame,k_cluster,outliers,silh_coef,clusters_label,quantidades,small_clst,intermediate_clst,large_clst,small_mic,micelles
40,40,7,7,0.5376097528589744,[-1  0  1  2  3  4  5  6],[ 7  3 13  6  9  4  5  7],2,3,2,0,0
41,41,8,6,0.5150895480305739,[-1  0  1  2  3  4  5  6  7],[ 6  3 13  6  9  4  3  7  3],4,2,2,0,0
42,42,9,6,0.5149960920133501,[-1  0  1  2  3  4  5  6  7  8],[ 6  3 13  3  9  3  4  4  7  2],6,1,2,0,0
43,43,9,7,0.5020922054376368,[-1  0  1  2  3  4  5  6  7  8],[ 7  3 13  3  9  2  4  3  7  3],6,1,2,0,0
44,44,8,6,0.5285835723802917,[-1  0  1  2  3  4  5  6  7],[ 6  3 13  6  9  4  2  7  4],4,2,2,0,0
45,45,9,6,0.5249434188461287,[-1  0  1  2  3  4  5  6  7  8],[ 6  3 13  2  9  4  4  2  7  4],6,1,2,0,0
46,46,7,6,0.5208228180758211,[-1  0  1  2  3  4  5  6],[ 6  3 13  7  8  4  6  7],2,4,1,0,0
47,47,7,7,0.49558150805499457,[-1  0  1  2  3  4  5  6],[ 7  3 13  7  7  4  6  7],2,4,1,0,0
48,48,8,6,0.5092556996811558,[-1  0  1  2  3  4  5  6  7],[ 6  2 14  7  6  4  6  7  2],3,4,1,0,0
49,49,8,5,0.5371208305216845,[-1  0  1  2  3  4  5  6  7],[ 5  3 14  7  6  4  3  5  7],3,4,1,0,0
50,50,9,6,0.5204049150433432,[-1  0  1  2  3  4  5  6  7  8],[ 6  3 14  6  5  2  4  5  7  2],4,4,1,0,0
51,51,12,4,0.5596438724353836,[-1  0  1  2  3  4  5  6  7  8  9 10 11],[ 4  3 10  4  3  4  4  3  3  5  7  2  2],9,2,1,0,0
52,52,11,5,0.5334756165247617,[-1  0  1  2  3  4  5  6  7  8  9 10],[ 5  3 10  4  5  2  3  4  3  2  6  7],7,3,1,0,0
53,53,10,2,0.603381431657926,[-1  0  1  2  3  4  5  6  7  8  9],[2 3 6 8 5 2 8 4 2 7 7],4,6,0,0,0
54,54,8,3,0.5905067254612428,[-1  0  1  2  3  4  5  6  7],[ 3  3 10  4  4  9  4  3 14],5,0,3,0,0
55,55,10,4,0.5642393363633994,[-1  0  1  2  3  4  5  6  7  8  9],[ 4  3  9  5  5  2  3  4  4  2 13],6,2,2,0,0
56,56,9,5,0.5989136411952016,[-1  0  1  2  3  4  5  6  7  8],[ 5  3  7  7  4  3  4  6  3 12],5,3,1,0,0
57,57,9,5,0.5632768864689918,[-1  0  1  2  3  4  5  6  7  8],[ 5  3 11  6  2  3  4  3  3 14],6,1,2,0,0
58,58,10,4,0.5437016212828608,[-1  0  1  2  3  4  5  6  7  8  9],[ 4  3 11  5  2  2  3  4  4 14  2],7,1,2,0,0
59,59,7,6,0.49789281977230604,[-1  0  1  2  3  4  5  6],[ 6  3 14  6  5  4  2 14],3,2,2,0,0
60,60,6,5,0.5293005051381053,[-1  0  1  2  3  4  5],[ 5  3 14 12  4 14  2],3,0,3,0,0
61,61,9,4,0.5663825033372049,[-1  0  1  2  3  4  5  6  7  8],[ 4  3 10  6  3  3  4  4  3 14],6,1,2,0,0
62,62,7,5,0.5456242758439488,[-1  0  1  2  3  4  5  6],[ 5  3 14  6  5  4  3 14],3,2,2,0,0
63,63,6,4,0.5927806670497505,[-1  0  1  2  3  4  5],[ 4  3 14 13  4  2 14],3,0,3,0,0
64,64,6,4,0.5894229278809839,[-1  0  1  2  3  4  5],[ 4  3 14 10  4  5 14],2,1,3,0,0
65,65,6,3,0.5971769778628243,[-1  0  1  2  3  4  5],[ 3  3 14 14  4  2 14],3,0,3,0,0
66,66,6,3,0.5981313019299435,[-1  0  1  2  3  4  5],[ 3  3 13 14  4  3 14],3,0,3,0,0
67,67,6,3,0.6155208398699175,[-1  0  1  2  3  4  5],[ 3  4 10  4 16  3 14],3,0,2,1,0
68,68,6,1,0.6225100192973204,[-1  0  1  2  3  4  5],[ 1  4  7  7 17  4 14],2,2,1,1,0
69,69,5,2,0.6373827861232202,[-1  0  1  2  3  4],[ 2 17 10  4 17  4],2,0,1,2,0
70,70,6,1,0.6411355506158701,[-1  0  1  2  3  4  5],[ 1  4 10  4 17  4 14],3,0,2,1,0
71,71,7,2,0.6168633040761079,[-1  0  1  2  3  4  5  6],[ 2  4 12  2 14  3  3 14],4,0,3,0,0
