,frame,k_cluster,outliers,silh_coef,clusters_label,quantidades,small_clst,intermediate_clst,large_clst,small_mic,micelles
43,43,9,28,-0.3077792904713102,[-1  0  1  2  3  4  5  6  7  8],[28  5  3  6  2  2  2  2  2  2],7,2,0,0,0
44,44,9,21,-0.34937681355532557,[-1  0  1  2  3  4  5  6  7  8],[21  3  3  7  2 10  2  2  2  2],7,1,1,0,0
45,45,10,19,-0.16567984350423326,[-1  0  1  2  3  4  5  6  7  8  9],[19  3  2  3  2 14  2  2  2  3  2],9,0,1,0,0
46,46,8,25,-0.3326079381850445,[-1  0  1  2  3  4  5  6  7],[25  4  2 12  2  2  3  2  2],7,0,1,0,0
47,47,9,32,-0.32972286008522,[-1  0  1  2  3  4  5  6  7  8],[32  2  3  2  5  2  2  2  2  2],8,1,0,0,0
48,48,10,28,-0.3668375484604252,[-1  0  1  2  3  4  5  6  7  8  9],[28  5  2  4  2  2  2  2  3  2  2],9,1,0,0,0
49,49,11,23,-0.35735961667489363,[-1  0  1  2  3  4  5  6  7  8  9 10],[23  2  2  4  2  2  7  2  2  4  2  2],10,1,0,0,0
50,50,10,26,-0.3556296520488574,[-1  0  1  2  3  4  5  6  7  8  9],[26  2  5  3  2  2  4  2  3  3  2],9,1,0,0,0
51,51,10,27,-0.29001397822112984,[-1  0  1  2  3  4  5  6  7  8  9],[27  2  2  3  2  3  4  4  2  3  2],10,0,0,0,0
52,52,12,25,-0.23048362468184194,[-1  0  1  2  3  4  5  6  7  8  9 10 11],[25  3  2  3  2  2  2  5  2  2  2  2  2],11,1,0,0,0
53,53,13,11,-0.2066878007816584,[-1  0  1  2  3  4  5  6  7  8  9 10 11 12],[11  2  2  2 13  2  2  3  3  5  2  2  3  2],11,1,1,0,0
54,54,12,6,-0.11722306284876646,[-1  0  1  2  3  4  5  6  7  8  9 10 11],[ 6  2 13 13  3  2  2  2  2  2  3  2  2],10,0,2,0,0
55,55,12,23,-0.011342693792515242,[-1  0  1  2  3  4  5  6  7  8  9 10 11],[23  2  4  2  4  3  2  4  2  2  2  2  2],12,0,0,0,0
56,56,9,14,-0.23725222948327984,[-1  0  1  2  3  4  5  6  7  8],[14  2  3 20  4  2  2  2  3  2],8,0,0,1,0
57,57,11,27,-0.2644206274643235,[-1  0  1  2  3  4  5  6  7  8  9 10],[27  2  3  4  4  2  2  2  2  2  2  2],11,0,0,0,0
58,58,12,22,-0.30454409733779897,[-1  0  1  2  3  4  5  6  7  8  9 10 11],[22  2  2  2  3  2  7  2  4  2  2  2  2],11,1,0,0,0
59,59,11,24,-0.33270807877127606,[-1  0  1  2  3  4  5  6  7  8  9 10],[24  2  3  2  2  7  2  4  2  2  2  2],10,1,0,0,0
60,60,8,23,-0.3294977513242082,[-1  0  1  2  3  4  5  6  7],[23  4  3  4 12  2  2  2  2],7,0,1,0,0
61,61,7,32,-0.37101487974091935,[-1  0  1  2  3  4  5  6],[32  2  2  2  8  3  2  3],6,1,0,0,0
62,62,11,24,-0.3127466485555106,[-1  0  1  2  3  4  5  6  7  8  9 10],[24  2  3  2  8  2  2  2  3  2  2  2],10,1,0,0,0
63,63,9,12,-0.22434471252208107,[-1  0  1  2  3  4  5  6  7  8],[12  3 15  2 11  2  2  3  2  2],7,0,2,0,0
64,64,9,13,-0.26006608008772847,[-1  0  1  2  3  4  5  6  7  8],[13  2  8  2  5  4  2 14  2  2],6,2,1,0,0
65,65,8,20,-0.31121530852319423,[-1  0  1  2  3  4  5  6  7],[20  2  2 17  2  3  3  3  2],7,0,0,1,0
66,66,8,14,-0.258663821769826,[-1  0  1  2  3  4  5  6  7],[14  7  2  2  4 10  4  9  2],5,1,2,0,0
67,67,9,29,-0.3107955161035225,[-1  0  1  2  3  4  5  6  7  8],[29  3  3  2  2  3  4  4  2  2],9,0,0,0,0
68,68,6,33,-0.37350316880000833,[-1  0  1  2  3  4  5],[33  8  2  5  2  2  2],4,2,0,0,0
69,69,8,33,-0.3514141904352347,[-1  0  1  2  3  4  5  6  7],[33  6  2  3  2  2  2  2  2],7,1,0,0,0
70,70,7,35,-0.3769147512981427,[-1  0  1  2  3  4  5  6],[35  5  2  3  3  2  2  2],6,1,0,0,0
