,frame,k_cluster,outliers,silh_coef,clusters_label,quantidades,,small_clst,intermediate_clst,large_clst,small_mic,micelles
38,38,8,5,0.5657895873261032,[-1  0  1  2  3  4  5  6  7],[ 5  3 13  7  9  5  6  2  4],"7,6",3,3,2,0,0
39,39,8,6,0.3925504932309302,[-1  0  1  2  3  4  5  6  7],[ 6  3 13  9  6  4  6  2  5],"7,8",3,3,2,0,0
40,40,7,5,0.47200605576502536,[-1  0  1  2  3  4  5  6],[ 5  3 13  7  9  4  6  7],8,2,3,2,0,0
41,41,7,5,0.3962400031343424,[-1  0  1  2  3  4  5  6],[ 5  3 13  7  9  4  6  7],"8,2",2,3,2,0,0
42,42,8,5,0.2542992122091454,[-1  0  1  2  3  4  5  6  7],[ 5  3 13  7  7  4  2  6  7],"8,4",3,4,1,0,0
43,43,7,5,0.30519692008954236,[-1  0  1  2  3  4  5  6],[ 5  3 13  7  9  4  6  7],"8,6",2,3,2,0,0
44,44,7,5,0.4151528960781868,[-1  0  1  2  3  4  5  6],[ 5  3 13  7  9  4  6  7],"8,8",2,3,2,0,0
45,45,7,5,0.35646446301540685,[-1  0  1  2  3  4  5  6],[ 5  3 13  7  9  4  6  7],9,2,3,2,0,0
46,46,7,5,0.47055791243437556,[-1  0  1  2  3  4  5  6],[ 5  3 13  7  9  4  6  7],"9,2",2,3,2,0,0
47,47,8,5,0.42323721968813255,[-1  0  1  2  3  4  5  6  7],[ 5  3 13  7  3  6  4  6  7],"9,4",3,4,1,0,0
48,48,7,4,0.36186570094774384,[-1  0  1  2  3  4  5  6],[ 4  2 14  8  9  4  6  7],"9,6",2,3,2,0,0
49,49,7,5,0.34833234304089694,[-1  0  1  2  3  4  5  6],[ 5  2 14  7  9  4  6  7],"9,8",2,3,2,0,0
50,50,7,4,0.3108358441066405,[-1  0  1  2  3  4  5  6],[ 4  3 14  7  9  4  6  7],10,2,3,2,0,0
51,51,7,3,0.07332651488120406,[-1  0  1  2  3  4  5  6],[ 3  3 14  7  9  4  7  7],"10,2",2,3,2,0,0
52,52,8,3,0.11993930764759969,[-1  0  1  2  3  4  5  6  7],[ 3  3 14  7  9  4  5  7  2],"10,4",3,3,2,0,0
53,53,7,3,0.1675844300335401,[-1  0  1  2  3  4  5  6],[ 3  3 14  8  9  4  6  7],"10,6",2,3,2,0,0
54,54,6,3,0.2775480593978551,[-1  0  1  2  3  4  5],[ 3  3 14  7 10  4 13],"10,8",2,1,3,0,0
55,55,6,3,0.16935754463075237,[-1  0  1  2  3  4  5],[ 3  3 14  7  9  4 14],11,2,1,3,0,0
56,56,6,4,0.13831863470819863,[-1  0  1  2  3  4  5],[ 4  3 14  6  9  4 14],"11,2",2,1,3,0,0
57,57,6,4,0.33314324472549867,[-1  0  1  2  3  4  5],[ 4  3 14  6  9  4 14],"11,4",2,1,3,0,0
58,58,6,3,0.24821577669270056,[-1  0  1  2  3  4  5],[ 3  3 14  7  9  4 14],"11,6",2,1,3,0,0
59,59,6,3,0.39164108813169396,[-1  0  1  2  3  4  5],[ 3  3 14  7  9  4 14],"11,8",2,1,3,0,0
60,60,6,3,0.4161975176532036,[-1  0  1  2  3  4  5],[ 3  3 14  7  9  4 14],12,2,1,3,0,0
61,61,6,3,0.2394074562258638,[-1  0  1  2  3  4  5],[ 3  3 14  7  9  4 14],"12,2",2,1,3,0,0
62,62,6,3,0.4001422312323438,[-1  0  1  2  3  4  5],[ 3  3 14  7  9  4 14],"12,4",2,1,3,0,0
63,63,5,3,0.49476475678088017,[-1  0  1  2  3  4],[ 3  3 14 16  4 14],"12,6",2,0,2,1,0
64,64,5,3,0.42729114561714776,[-1  0  1  2  3  4],[ 3  3 14 16  4 14],"12,8",2,0,2,1,0
65,65,5,2,0.49464200375994444,[-1  0  1  2  3  4],[ 2  3 14 17  4 14],13,2,0,2,1,0
66,66,5,2,0.45761521889741763,[-1  0  1  2  3  4],[ 2  3 14 17  4 14],"13,2",2,0,2,1,0
67,67,5,1,0.37352159638523236,[-1  0  1  2  3  4],[ 1  4 14 17  4 14],"13,4",2,0,2,1,0
68,68,5,1,0.40329613342863707,[-1  0  1  2  3  4],[ 1  4 14 17  4 14],"13,6",2,0,2,1,0
69,69,5,3,0.4214865789319167,[-1  0  1  2  3  4],[ 3  2 14 17  4 14],"13,8",2,0,2,1,0
70,70,5,1,0.4664300537331344,[-1  0  1  2  3  4],[ 1  4 14 17  4 14],14,2,0,2,1,0
71,71,5,2,0.3505485511221308,[-1  0  1  2  3  4],[ 2  3 14 17  4 14],"14,2",2,0,2,1,0
72,72,5,1,0.310301463828342,[-1  0  1  2  3  4],[ 1  4 14 17  4 14],"14,4",2,0,2,1,0
73,73,5,1,0.42870358355741695,[-1  0  1  2  3  4],[ 1  4 14 17  4 14],"14,6",2,0,2,1,0
74,74,5,1,0.44169419850650854,[-1  0  1  2  3  4],[ 1  4 14 17  4 14],"14,8",2,0,2,1,0
75,75,6,1,0.4491326458994543,[-1  0  1  2  3  4  5],[ 1  4  7  7 17  4 14],15,2,2,1,1,0
76,76,6,2,0.353693306201776,[-1  0  1  2  3  4  5],[ 2  3 12  2 17  4 14],"15,2",3,0,2,1,0
77,77,5,1,0.44184968740606445,[-1  0  1  2  3  4],[ 1  4 14 17  4 14],"15,4",2,0,2,1,0
78,78,5,1,0.4975691883367982,[-1  0  1  2  3  4],[ 1  4 14 17  4 14],"15,6",2,0,2,1,0
79,79,5,1,0.42565700628056974,[-1  0  1  2  3  4],[ 1  4 14 17  4 14],"15,8",2,0,2,1,0
80,80,4,2,0.21589306265917332,[-1  0  1  2  3],[ 2  3 14 17 18],16,1,0,1,2,0
81,81,5,1,0.2209282050856381,[-1  0  1  2  3  4],[ 1  4 14 17 16  2],"16,2",2,0,1,2,0
82,82,5,3,0.3664897498188941,[-1  0  1  2  3  4],[ 3  3 14 17  4 13],"16,4",2,0,2,1,0
83,83,9,3,0.23522744609808136,[-1  0  1  2  3  4  5  6  7  8],[ 3  2  2  8  2 13  3 16  3  2],"16,6",6,1,1,1,0
84,84,5,1,0.538286257180131,[-1  0  1  2  3  4],[ 1  4 14 17  4 14],"16,8",2,0,2,1,0
85,85,5,1,0.4922783925868805,[-1  0  1  2  3  4],[ 1  4 14 17  4 14],17,2,0,2,1,0
86,86,5,1,0.4907223659783194,[-1  0  1  2  3  4],[ 1  4 14 17  4 14],"17,2",2,0,2,1,0
87,87,5,1,0.5006995538175842,[-1  0  1  2  3  4],[ 1  4 14 17  4 14],"17,4",2,0,2,1,0
88,88,5,1,0.5117694631498962,[-1  0  1  2  3  4],[ 1  4 14 17  4 14],"17,6",2,0,2,1,0
89,89,5,2,0.33016485542885515,[-1  0  1  2  3  4],[ 2  3 14 17  4 14],"17,8",2,0,2,1,0
90,90,5,1,0.42597506568124854,[-1  0  1  2  3  4],[ 1  4 14 17  4 14],18,2,0,2,1,0
91,91,4,1,0.4439933127350614,[-1  0  1  2  3],[ 1 18 14 17  4],"18,2",1,0,1,2,0
92,92,4,2,0.37992458240984844,[-1  0  1  2  3],[ 2 17 14 17  4],"18,4",1,0,1,2,0
93,93,5,1,0.46245825876192853,[-1  0  1  2  3  4],[ 1 18 13 17  3  2],"18,6",2,0,1,2,0
94,94,4,1,0.47867967550563456,[-1  0  1  2  3],[ 1 18 13 17  5],"18,8",0,1,1,2,0
95,95,4,0,0.5439991756784056,[0 1 2 3],[18 14 17  5],19,0,1,1,1,0
96,96,4,0,0.5006041076941016,[0 1 2 3],[18 14 17  5],"19,2",0,1,1,1,0
97,97,6,2,0.20648751973138316,[-1  0  1  2  3  4  5],[ 2 16 11 14  3  5  3],"19,4",2,1,2,1,0
98,98,4,0,0.6609245602842745,[0 1 2 3],[18 14 17  5],"19,6",0,1,1,1,0
