,frame,k_cluster,outliers,silh_coef,clusters_label,quantidades,small_clst,intermediate_clst,large_clst,small_mic,micelles
41,41,6,4,0.2564496538718352,[-1  0  1  2  3  4  5],[ 4  3 13 15  9  4  6],2,1,3,0,0
42,42,7,5,0.32752661210002726,[-1  0  1  2  3  4  5  6],[ 5  3 13  7  9  4  6  7],2,3,2,0,0
43,43,7,5,0.3073194154010147,[-1  0  1  2  3  4  5  6],[ 5  3 13  7  9  4  6  7],2,3,2,0,0
44,44,7,4,0.3897297337877634,[-1  0  1  2  3  4  5  6],[ 4  3 13  8  9  4  6  7],2,3,2,0,0
45,45,7,4,0.34956803010626664,[-1  0  1  2  3  4  5  6],[ 4  3 13  8  9  4  6  7],2,3,2,0,0
46,46,7,4,0.445598621584372,[-1  0  1  2  3  4  5  6],[ 4  3 13  8  9  4  6  7],2,3,2,0,0
47,47,7,4,0.4098981796845703,[-1  0  1  2  3  4  5  6],[ 4  3 13  8  9  4  6  7],2,3,2,0,0
48,48,7,4,0.36670884298594286,[-1  0  1  2  3  4  5  6],[ 4  2 14  8  9  4  6  7],2,3,2,0,0
49,49,6,3,0.2633824886742482,[-1  0  1  2  3  4  5],[ 3  3 14 15  9  4  6],2,1,3,0,0
50,50,7,3,0.30813630102658895,[-1  0  1  2  3  4  5  6],[ 3  3 14  8  9  4  6  7],2,3,2,0,0
51,51,7,2,0.07221583422915727,[-1  0  1  2  3  4  5  6],[ 2  3 14  8  9  4  7  7],2,3,2,0,0
52,52,7,2,0.12499869424492777,[-1  0  1  2  3  4  5  6],[ 2  3 14  8  9  4  7  7],2,3,2,0,0
53,53,7,1,0.20829329593035292,[-1  0  1  2  3  4  5  6],[ 1  3 14  8 10  4  7  7],2,3,2,0,0
54,54,6,1,0.2685038518904434,[-1  0  1  2  3  4  5],[ 1  3 14  8 10  4 14],2,1,3,0,0
55,55,6,2,0.143956009917078,[-1  0  1  2  3  4  5],[ 2  3 14  8  9  4 14],2,1,3,0,0
56,56,6,3,0.1493875031043384,[-1  0  1  2  3  4  5],[ 3  3 14  7  9  4 14],2,1,3,0,0
57,57,6,3,0.3008317954073423,[-1  0  1  2  3  4  5],[ 3  3 14  7  9  4 14],2,1,3,0,0
58,58,6,3,0.25358720060625944,[-1  0  1  2  3  4  5],[ 3  3 14  7  9  4 14],2,1,3,0,0
59,59,6,3,0.39176578670792145,[-1  0  1  2  3  4  5],[ 3  3 14  7  9  4 14],2,1,3,0,0
60,60,7,3,0.3935523920202331,[-1  0  1  2  3  4  5  6],[ 3  3 14  7  9  2 14  2],3,1,3,0,0
61,61,6,3,0.23916210969054855,[-1  0  1  2  3  4  5],[ 3  3 14  7  9  4 14],2,1,3,0,0
62,62,6,2,0.3964628153875989,[-1  0  1  2  3  4  5],[ 2  3 14  7 10  4 14],2,1,3,0,0
63,63,5,2,0.4674070371686017,[-1  0  1  2  3  4],[ 2  3 14 17  4 14],2,0,2,1,0
64,64,4,2,0.13679930418499214,[-1  0  1  2  3],[ 2  3 31  4 14],2,0,1,1,0
65,65,5,2,0.4925813369834291,[-1  0  1  2  3  4],[ 2  3 14 17  4 14],2,0,2,1,0
66,66,4,2,0.14093285932560365,[-1  0  1  2  3],[ 2  3 31  4 14],2,0,1,1,0
67,67,4,1,0.08818170010682852,[-1  0  1  2  3],[ 1  4 31  4 14],2,0,1,1,0
68,68,5,1,0.40635955458859024,[-1  0  1  2  3  4],[ 1  4 14 17  4 14],2,0,2,1,0
69,69,3,3,0.1925534861447942,[-1  0  1  2],[ 3 16 31  4],1,0,0,2,0
70,70,4,1,0.1493731202200855,[-1  0  1  2  3],[ 1  4 31  4 14],2,0,1,1,0
71,71,4,2,0.048946040916594,[-1  0  1  2  3],[ 2  3 31  4 14],2,0,1,1,0
72,72,4,1,0.0920655497324781,[-1  0  1  2  3],[ 1  4 31  4 14],2,0,1,1,0
73,73,4,1,0.17201999524763892,[-1  0  1  2  3],[ 1  4 31  4 14],2,0,1,1,0
74,74,4,1,0.18782445821598867,[-1  0  1  2  3],[ 1  4 31  4 14],2,0,1,1,0
75,75,4,1,0.2508255669464718,[-1  0  1  2  3],[ 1  4 31  4 14],2,0,1,1,0
76,76,4,1,0.2819747395860901,[-1  0  1  2  3],[ 1  4 31  4 14],2,0,1,1,0
77,77,4,1,0.18499998934070042,[-1  0  1  2  3],[ 1  4 31  4 14],2,0,1,1,0
78,78,4,1,0.23132387159178588,[-1  0  1  2  3],[ 1  4 31  4 14],2,0,1,1,0
79,79,4,1,0.17706727196818675,[-1  0  1  2  3],[ 1  4 31  4 14],2,0,1,1,0
80,80,3,1,0.040111274171026154,[-1  0  1  2],[ 1  4 31 18],1,0,0,2,0
81,81,4,1,0.02286466500817712,[-1  0  1  2  3],[ 1  4 31 16  2],2,0,0,2,0
82,82,4,1,0.1552542337707962,[-1  0  1  2  3],[ 1  4 31  4 14],2,0,1,1,0
83,83,5,2,0.074595296891859,[-1  0  1  2  3  4],[ 2  2  2 30 16  2],3,0,0,2,0
84,84,4,1,0.25617162118479586,[-1  0  1  2  3],[ 1  4 31  4 14],2,0,1,1,0
85,85,4,2,0.20915209861312292,[-1  0  1  2  3],[ 2  3 31  4 14],2,0,1,1,0
86,86,4,1,0.21192876107833525,[-1  0  1  2  3],[ 1  4 31  4 14],2,0,1,1,0
87,87,4,1,0.1977306452226816,[-1  0  1  2  3],[ 1  4 31  4 14],2,0,1,1,0
88,88,4,1,0.20770130186127653,[-1  0  1  2  3],[ 1  4 31  4 14],2,0,1,1,0
89,89,4,2,0.07985326853596078,[-1  0  1  2  3],[ 2  3 31  4 14],2,0,1,1,0
90,90,5,2,0.26117389700441684,[-1  0  1  2  3  4],[ 2  4 19 12  3 14],2,0,2,1,0
91,91,3,1,0.217510639908585,[-1  0  1  2],[ 1 18 31  4],1,0,0,2,0
92,92,4,2,0.39093596695895816,[-1  0  1  2  3],[ 2 17 14 17  4],1,0,1,2,0
93,93,4,1,0.45358550061018843,[-1  0  1  2  3],[ 1 18 14 16  5],0,1,1,2,0
94,94,4,0,0.5935533836127688,[0 1 2 3],[18 14 17  5],0,1,1,1,0
95,95,3,0,0.3230023217762324,[0 1 2],[18 31  5],0,1,0,1,0
96,96,4,0,0.5112725971851427,[0 1 2 3],[18 14 17  5],0,1,1,1,0
97,97,5,1,0.3160848454229961,[-1  0  1  2  3  4],[ 1 17 11 17  3  5],1,1,1,2,0
98,98,4,0,0.6529242859193778,[0 1 2 3],[18 14 17  5],0,1,1,1,0
99,99,5,0,0.6252533194707618,[0 1 2 3 4],[18 14 17  2  3],2,0,1,1,0
100,100,4,1,0.5049794770792191,[-1  0  1  2  3],[ 1 18 13 17  5],0,1,1,2,0
101,101,4,1,0.4852618862093454,[-1  0  1  2  3],[ 1 18 13 17  5],0,1,1,2,0
102,102,4,0,0.6497984184073569,[0 1 2 3],[18 14 17  5],0,1,1,1,0
103,103,4,0,0.5543916263696086,[0 1 2 3],[18 14 17  5],0,1,1,1,0
104,104,4,0,0.5851967260434445,[0 1 2 3],[18 14 17  5],0,1,1,1,0
105,105,5,2,0.44004732644294786,[-1  0  1  2  3  4],[ 2 18 14 14  4  2],2,0,2,1,0
106,106,5,5,0.4345340685194514,[-1  0  1  2  3  4],[ 5 17 14 12  4  2],2,0,2,1,0
107,107,5,2,0.42131869247590614,[-1  0  1  2  3  4],[ 2 18 14 14  4  2],2,0,2,1,0
108,108,4,0,0.5471884733326801,[0 1 2 3],[18 14 17  5],0,1,1,1,0
109,109,5,0,0.5866913841982189,[0 1 2 3 4],[18 14 17  2  3],2,0,1,1,0
110,110,4,1,0.45388466736287975,[-1  0  1  2  3],[ 1 17 14 17  5],0,1,1,2,0
111,111,4,1,0.37856673970832805,[-1  0  1  2  3],[ 1 17 14 19  3],1,0,1,2,0
112,112,3,4,0.3138076406804437,[-1  0  1  2],[ 4 17 12 21],0,0,1,2,0
113,113,4,1,0.6167911431080081,[-1  0  1  2  3],[ 1 18 14 17  4],1,0,1,2,0
114,114,5,4,0.4168226681959787,[-1  0  1  2  3  4],[ 4 17 10  2 17  4],2,0,1,2,0
115,115,5,0,0.5377733900231227,[0 1 2 3 4],[18 11  3 17  5],1,1,1,1,0
116,116,7,7,0.1441686512752562,[-1  0  1  2  3  4  5  6],[ 7  6 10  2 12  7  7  3],2,3,2,0,0
117,117,10,2,0.26385695500992096,[-1  0  1  2  3  4  5  6  7  8  9],[ 2  9  6 11  2  6  6  2  5  3  2],4,4,2,0,0
118,118,5,4,0.3495430784428797,[-1  0  1  2  3  4],[ 4 17 13  3 12  5],1,1,2,1,0
119,119,5,3,0.32812234047630323,[-1  0  1  2  3  4],[ 3 17 14  3 14  3],2,0,2,1,0
120,120,5,2,0.40289979490534217,[-1  0  1  2  3  4],[ 2 16 14 14  5  3],1,1,2,1,0
121,121,5,0,0.31464320841047155,[0 1 2 3 4],[ 5 13 14 17  5],0,1,2,1,0
122,122,4,0,0.4948544863992248,[0 1 2 3],[18 14 17  5],0,1,1,1,0
123,123,6,0,0.3586332417167841,[0 1 2 3 4 5],[16 10 17  4  5  2],2,1,1,1,0
124,124,5,0,0.3662964778127377,[0 1 2 3 4],[16 14 17  5  2],1,1,1,1,0
125,125,5,1,0.20419646871031427,[-1  0  1  2  3  4],[ 1 17 10 17  4  5],1,1,1,2,0
126,126,5,0,0.23681131134977243,[0 1 2 3 4],[16 14 17  5  2],1,1,1,1,0
127,127,6,1,0.13154910308951184,[-1  0  1  2  3  4  5],[ 1 15 10 17  4  5  2],2,1,2,1,0
128,128,3,1,0.3556059894029959,[-1  0  1  2],[ 1 18 14 21],0,0,1,2,0
129,129,6,0,0.21006910625189898,[0 1 2 3 4 5],[16  8  6 17  5  2],1,3,0,1,0
130,130,4,0,0.44799410301453224,[0 1 2 3],[18 14 17  5],0,1,1,1,0
131,131,4,0,0.41299985444199877,[0 1 2 3],[18 14 17  5],0,1,1,1,0
132,132,4,0,0.40112045390637796,[0 1 2 3],[18 14 17  5],0,1,1,1,0
133,133,7,0,0.11776422772617244,[0 1 2 3 4 5 6],[ 2 11  3 17  5 14  2],2,1,2,1,0
134,134,4,0,0.37622498684286004,[0 1 2 3],[18 14 17  5],0,1,1,1,0
