,frame,k_cluster,outliers,silh_coef,clusters_label,quantidades,,small_clst,intermediate_clst,large_clst,small_mic,micelles
0,0,13,16,-0.07921788459834118,[-1  0  1  2  3  4  5  6  7  8  9 10 11 12],[16  5  2  3  2  2  2  4  3  4  2  2  3  4],0,12,1,0,0,0
1,1,11,14,0.09196518659735252,[-1  0  1  2  3  4  5  6  7  8  9 10],[14  3 15  2  3  4  2  2  2  2  2  3],"0,2",10,0,1,0,0
2,2,13,8,0.07389812002754642,[-1  0  1  2  3  4  5  6  7  8  9 10 11 12],[ 8  2  3 11  2  5  4  4  2  2  2  5  2  2],"0,4",10,2,1,0,0
3,3,11,10,0.006051461621724087,[-1  0  1  2  3  4  5  6  7  8  9 10],[10  2  8  2  2  5  4  6  2  5  2  6],"0,6",6,5,0,0,0
4,4,12,11,0.2088134782023787,[-1  0  1  2  3  4  5  6  7  8  9 10 11],[11  2 12  2  2  5  4  4  2  2  2  3  3],"0,8",10,1,1,0,0
5,5,11,12,0.1928645954898762,[-1  0  1  2  3  4  5  6  7  8  9 10],[12  2 15  2  2  5  3  4  2  2  2  3],1,9,1,1,0,0
6,6,11,10,0.27906911367136655,[-1  0  1  2  3  4  5  6  7  8  9 10],[10  2 13  2  6  2  4  6  2  2  2  3],"1,2",8,2,1,0,0
7,7,13,10,0.412903127352793,[-1  0  1  2  3  4  5  6  7  8  9 10 11 12],[10  3 10  2  6  2  3  4  2  2  2  2  3  3],"1,4",11,1,1,0,0
8,8,11,7,0.30207052314821553,[-1  0  1  2  3  4  5  6  7  8  9 10],[ 7  3 12  2  6  2  4  2  3  6  4  3],"1,6",8,2,1,0,0
9,9,9,7,0.2279367732401271,[-1  0  1  2  3  4  5  6  7  8],[ 7 18  2  6  4  3  2  5  4  3],"1,8",6,2,0,1,0
10,10,12,9,0.40898052210706193,[-1  0  1  2  3  4  5  6  7  8  9 10 11],[ 9  3 12  2  6  2  3  2  5  2  2  3  3],2,9,2,1,0,0
11,11,12,9,0.35835011586886834,[-1  0  1  2  3  4  5  6  7  8  9 10 11],[ 9  3 12  2  6  2  2  3  5  2  2  3  3],"2,2",9,2,1,0,0
12,12,10,9,0.2902665091831854,[-1  0  1  2  3  4  5  6  7  8  9],[ 9  5 12  2  7  2  4  3  5  2  3],"2,4",6,3,1,0,0
13,13,8,6,0.22740875614304643,[-1  0  1  2  3  4  5  6  7],[ 6 17  2 11  3  4  3  5  3],"2,6",5,1,1,1,0
14,14,10,6,0.3147402887120164,[-1  0  1  2  3  4  5  6  7  8  9],[ 6  3 12  2  7  4  4  3  5  5  3],"2,8",6,3,1,0,0
15,15,11,6,0.49280882561063166,[-1  0  1  2  3  4  5  6  7  8  9 10],[ 6  3 12  2  7  2  3  4  3  5  4  3],3,8,2,1,0,0
16,16,9,4,0.5026888677692618,[-1  0  1  2  3  4  5  6  7  8],[ 4  3 12  7  7  3  6  4  5  3],"3,2",4,4,1,0,0
17,17,10,3,0.3838955576033984,[-1  0  1  2  3  4  5  6  7  8  9],[ 3  3 12  7  3  6  4  6  2  5  3],"3,4",5,4,1,0,0
18,18,8,3,0.36853664115126583,[-1  0  1  2  3  4  5  6  7],[ 3  9 12 12  3  6  4  2  3],"3,6",4,1,3,0,0
19,19,9,3,0.3690727483467512,[-1  0  1  2  3  4  5  6  7  8],[ 3  3 12 12  3  6  4  6  2  3],"3,8",5,2,2,0,0
20,20,9,3,0.33733061000623754,[-1  0  1  2  3  4  5  6  7  8],[ 3  3 12 12  3  6  4  6  2  3],4,5,2,2,0,0
21,21,9,3,0.28351476425993216,[-1  0  1  2  3  4  5  6  7  8],[ 3  3 12 12  3  6  4  6  2  3],"4,2",5,2,2,0,0
22,22,10,3,0.36309480865243804,[-1  0  1  2  3  4  5  6  7  8  9],[ 3  3 12  7  3  6  4  6  2  5  3],"4,4",5,4,1,0,0
23,23,10,3,0.4310956771474864,[-1  0  1  2  3  4  5  6  7  8  9],[ 3  3 12  7  3  6  4  6  2  5  3],"4,6",5,4,1,0,0
24,24,10,2,0.4545498997119761,[-1  0  1  2  3  4  5  6  7  8  9],[ 2  3 13  7  3  6  4  6  2  5  3],"4,8",5,4,1,0,0
25,25,10,2,0.3977390707146275,[-1  0  1  2  3  4  5  6  7  8  9],[ 2  3 13  7  3  6  4  6  2  5  3],5,5,4,1,0,0
26,26,10,2,0.4738042837049626,[-1  0  1  2  3  4  5  6  7  8  9],[ 2  3 13  7  3  6  4  6  2  5  3],"5,2",5,4,1,0,0
27,27,10,2,0.43111986592552043,[-1  0  1  2  3  4  5  6  7  8  9],[ 2  3 13  7  3  6  4  6  2  5  3],"5,4",5,4,1,0,0
28,28,10,2,0.42344627346732,[-1  0  1  2  3  4  5  6  7  8  9],[ 2  3 13  7  3  6  4  6  2  5  3],"5,6",5,4,1,0,0
29,29,9,3,0.32778023156625524,[-1  0  1  2  3  4  5  6  7  8],[ 3  3 13  7  3  8  4  6  2  5],"5,8",4,4,1,0,0
30,30,9,1,0.29926218225136736,[-1  0  1  2  3  4  5  6  7  8],[ 1  3 14  7  3  8  5  6  2  5],6,3,5,1,0,0
31,31,9,1,0.39469165709270737,[-1  0  1  2  3  4  5  6  7  8],[ 1  3 14  7  3  9  4  6  2  5],"6,2",4,3,2,0,0
32,32,8,0,0.38416826092240774,[0 1 2 3 4 5 6 7],[ 3 14  8  3  9  4 11  2],"6,4",3,1,3,0,0
33,33,9,5,0.32614832786893344,[-1  0  1  2  3  4  5  6  7  8],[ 5  3 13  7  3  6  4  6  2  5],"6,6",4,4,1,0,0
34,34,7,4,0.32519367936594007,[-1  0  1  2  3  4  5  6],[ 4 16  8  3  6  4 11  2],"6,8",3,2,1,1,0
35,35,9,2,0.25245113453600054,[-1  0  1  2  3  4  5  6  7  8],[ 2  3 13  8  3  7  5  6  2  5],7,3,5,1,0,0
36,36,7,4,0.3025325141205392,[-1  0  1  2  3  4  5  6],[ 4  3 13  7  9  5  6  7],"7,2",1,4,2,0,0
37,37,9,4,0.4514047728268179,[-1  0  1  2  3  4  5  6  7  8],[ 4  3 13  7  3  6  5  6  2  5],"7,4",3,5,1,0,0
38,38,7,3,0.6030312403281223,[-1  0  1  2  3  4  5  6],[ 3  3 13  8  9  5  6  7],"7,6",1,4,2,0,0
39,39,6,5,0.26489151164407215,[-1  0  1  2  3  4  5],[ 5  3 13 14  9  4  6],"7,8",2,1,3,0,0
40,40,7,5,0.47200605576502536,[-1  0  1  2  3  4  5  6],[ 5  3 13  7  9  4  6  7],8,2,3,2,0,0
41,41,7,3,0.3841840482491212,[-1  0  1  2  3  4  5  6],[ 3  3 14  8  9  4  6  7],"8,2",2,3,2,0,0
42,42,6,4,0.26068134294088474,[-1  0  1  2  3  4  5],[ 4  3 14  7 15  4  7],"8,4",2,2,2,0,0
43,43,7,4,0.3171079660963303,[-1  0  1  2  3  4  5  6],[ 4  3 14  7  9  4  6  7],"8,6",2,3,2,0,0
44,44,7,4,0.3895783431238694,[-1  0  1  2  3  4  5  6],[ 4  3 13  8  9  4  6  7],"8,8",2,3,2,0,0
45,45,7,4,0.3511548288140363,[-1  0  1  2  3  4  5  6],[ 4  3 13  8  9  4  6  7],9,2,3,2,0,0
46,46,8,3,0.471715721559269,[-1  0  1  2  3  4  5  6  7],[ 3  3 13  7  9  4  6  7  2],"9,2",3,3,2,0,0
47,47,6,4,0.4114728205150559,[-1  0  1  2  3  4  5],[ 4  3 14  7  9  4 13],"9,4",2,1,3,0,0
48,48,7,3,0.383954494475128,[-1  0  1  2  3  4  5  6],[ 3  3 14  8  9  4  6  7],"9,6",2,3,2,0,0
49,49,7,4,0.37295828616859594,[-1  0  1  2  3  4  5  6],[ 4  3 14  7  9  4  6  7],"9,8",2,3,2,0,0
50,50,6,3,0.2637422520741174,[-1  0  1  2  3  4  5],[ 3  3 14  7 16  4  7],10,2,2,1,1,0
51,51,5,3,0.042282815353755124,[-1  0  1  2  3  4],[ 3  3 14 23  4  7],"10,2",2,1,1,1,0
52,52,7,2,0.11734438381906855,[-1  0  1  2  3  4  5  6],[ 2  3 14  8  9  4  7  7],"10,4",2,3,2,0,0
53,53,6,1,0.20578896397142793,[-1  0  1  2  3  4  5],[ 1  3 14  8 10  4 14],"10,6",2,1,3,0,0
54,54,6,2,0.3177472446911012,[-1  0  1  2  3  4  5],[ 2  3 14  7 10  4 14],"10,8",2,1,3,0,0
55,55,6,3,0.16935754463075237,[-1  0  1  2  3  4  5],[ 3  3 14  7  9  4 14],11,2,1,3,0,0
56,56,6,2,0.15096506484540695,[-1  0  1  2  3  4  5],[ 2  3 14  7 10  4 14],"11,2",2,1,3,0,0
57,57,6,3,0.30378981625054197,[-1  0  1  2  3  4  5],[ 3  3 14  7  9  4 14],"11,4",2,1,3,0,0
58,58,4,3,0.1372584851316739,[-1  0  1  2  3],[ 3  3 30  4 14],"11,6",2,0,1,1,0
59,59,5,3,0.38392615957489196,[-1  0  1  2  3  4],[ 3  3 14 16  4 14],"11,8",2,0,2,1,0
60,60,5,3,0.40355225555119945,[-1  0  1  2  3  4],[ 3  3 14 16  4 14],12,2,0,2,1,0
61,61,5,2,0.19715954253988854,[-1  0  1  2  3  4],[ 2  3 14 17  4 14],"12,2",2,0,2,1,0
62,62,6,2,0.39015853914699333,[-1  0  1  2  3  4  5],[ 2  3 14  7 10  4 14],"12,4",2,1,3,0,0
63,63,5,2,0.46743351455630994,[-1  0  1  2  3  4],[ 2  3 14 17  4 14],"12,6",2,0,2,1,0
64,64,5,2,0.40710719588752126,[-1  0  1  2  3  4],[ 2  3 14 17  4 14],"12,8",2,0,2,1,0
65,65,5,2,0.49464200375994444,[-1  0  1  2  3  4],[ 2  3 14 17  4 14],13,2,0,2,1,0
66,66,5,2,0.45761521889741763,[-1  0  1  2  3  4],[ 2  3 14 17  4 14],"13,2",2,0,2,1,0
67,67,5,1,0.37352159638523236,[-1  0  1  2  3  4],[ 1  4 14 17  4 14],"13,4",2,0,2,1,0
68,68,5,1,0.40329613342863707,[-1  0  1  2  3  4],[ 1  4 14 17  4 14],"13,6",2,0,2,1,0
69,69,4,1,0.4860877840504295,[-1  0  1  2  3],[ 1 18 14 17  4],"13,8",1,0,1,2,0
70,70,4,1,0.48455247479337615,[-1  0  1  2  3],[ 1 18 14 17  4],14,1,0,1,2,0
71,71,5,1,0.32740006670659594,[-1  0  1  2  3  4],[ 1  4 14 17  4 14],"14,2",2,0,2,1,0
72,72,4,1,0.3445219803347338,[-1  0  1  2  3],[ 1 18 14 17  4],"14,4",1,0,1,2,0
